datetime,TinTrue,ToutF,u,y,w,s_plus,s_minus,z,solve_time_ms,fallback_flag
2025-07-01 18:55:00,73.505,77.849,0,0,0,0.0,0.0,0.495,84.95,0
2025-07-01 19:00:00,73.606,77.929,0,0,0,0.0,0.0,0.394,106.51,0
2025-07-01 19:05:00,73.719,78.011,0,0,0,0.0,0.0,0.281,108.39,0
2025-07-01 19:10:00,73.59,78.027,0,0,0,0.0,0.0,0.41,106.88,0
2025-07-01 19:15:00,73.53,77.928,0,0,0,0.0,0.0,0.47,99.93,0
2025-07-01 19:20:00,73.752,77.697,0,0,0,0.0,0.0,0.248,96.46,0
2025-07-01 19:25:00,73.619,77.35,0,0,0,0.0,0.0,0.381,114.67,0
2025-07-01 19:30:00,73.663,76.939,0,0,0,0.0,0.0,0.337,98.79,0
2025-07-01 19:35:00,73.778,76.528,0,0,0,0.0,0.0,0.222,92.71,0
2025-07-01 19:40:00,73.773,76.186,0,0,0,0.0,0.0,0.227,81.89,0
2025-07-01 19:45:00,73.549,75.962,0,0,0,0.0,0.0,0.451,106.36,0
2025-07-01 19:50:00,73.522,75.873,0,0,0,0.0,0.0,0.478,110.22,0
2025-07-01 19:55:00,73.643,75.902,0,0,0,0.0,0.0,0.357,100.15,0
2025-07-01 20:00:00,73.58,76.0,0,0,0,0.0,0.0,0.42,109.18,0
2025-07-01 20:05:00,73.315,76.1,0,0,0,0.0,0.0,0.685,105.59,0
2025-07-01 20:10:00,73.792,76.135,0,0,0,0.0,0.0,0.208,100.09,0
2025-07-01 20:15:00,73.604,76.055,0,0,0,0.0,0.0,0.396,87.53,0
2025-07-01 20:20:00,73.712,75.844,0,0,0,0.0,0.0,0.288,94.29,0
2025-07-01 20:25:00,73.426,75.52,0,0,0,0.0,0.0,0.574,109.19,0
2025-07-01 20:30:00,73.797,75.13,0,0,0,0.0,0.0,0.203,110.02,0
2025-07-01 20:35:00,73.516,74.743,0,0,0,0.0,0.0,0.484,82.13,0
2025-07-01 20:40:00,73.59,74.425,0,0,0,0.0,0.0,0.41,97.13,0
2025-07-01 20:45:00,73.397,74.225,0,0,0,0.0,0.0,0.603,104.36,0
2025-07-01 20:50:00,73.584,74.162,0,0,0,0.0,0.0,0.416,109.29,0
2025-07-01 20:55:00,73.577,74.218,0,0,0,0.0,0.0,0.423,95.97,0
2025-07-01 21:00:00,73.586,74.343,0,0,0,0.0,0.0,0.414,101.78,0
2025-07-01 21:05:00,73.682,74.471,0,0,0,0.0,0.0,0.318,95.14,0
2025-07-01 21:10:00,73.628,74.535,0,0,0,0.0,0.0,0.372,93.6,0
2025-07-01 21:15:00,73.768,74.485,0,0,0,0.0,0.0,0.232,93.05,0
2025-07-01 21:20:00,73.554,74.305,0,0,0,0.0,0.0,0.446,112.83,0
2025-07-01 21:25:00,73.478,74.011,0,0,0,0.0,0.0,0.522,83.09,0
2025-07-01 21:30:00,73.628,73.653,0,0,0,0.0,0.0,0.372,81.45,0
2025-07-01 21:35:00,73.728,73.298,0,0,0,0.0,0.0,0.272,107.4,0
2025-07-01 21:40:00,73.824,73.014,0,0,0,0.0,0.0,0.176,94.52,0
2025-07-01 21:45:00,73.763,72.848,0,0,0,0.0,0.0,0.237,117.61,0
2025-07-01 21:50:00,73.38,72.82,0,0,0,0.0,0.0,0.62,86.82,0
2025-07-01 21:55:00,73.706,72.911,0,0,0,0.0,0.0,0.294,96.47,0
2025-07-01 22:00:00,73.873,73.072,0,0,0,0.0,0.0,0.127,95.94,0
2025-07-01 22:05:00,73.667,73.236,0,0,0,0.0,0.0,0.333,100.42,0
2025-07-01 22:10:00,73.585,73.337,0,0,0,0.0,0.0,0.415,86.28,0
2025-07-01 22:15:00,73.714,73.325,0,0,0,0.0,0.0,0.286,119.31,0
2025-07-01 22:20:00,73.597,73.183,0,0,0,0.0,0.0,0.403,105.31,0
2025-07-01 22:25:00,73.773,72.928,0,0,0,0.0,0.0,0.227,117.19,0
2025-07-01 22:30:00,73.681,72.609,0,0,0,0.0,0.0,0.319,105.59,0
2025-07-01 22:35:00,73.897,72.294,0,0,0,0.0,0.0,0.103,105.44,0
2025-07-01 22:40:00,73.769,72.049,0,0,0,0.0,0.0,0.231,104.04,0
2025-07-01 22:45:00,73.591,71.925,0,0,0,0.0,0.0,0.409,89.85,0
2025-07-01 22:50:00,73.796,71.937,0,0,0,0.0,0.0,0.204,91.47,0
2025-07-01 22:55:00,73.851,72.07,0,0,0,0.0,0.0,0.149,86.67,0
2025-07-01 23:00:00,73.632,72.273,0,0,0,0.0,0.0,0.368,108.3,0
2025-07-01 23:05:00,73.66,72.479,0,0,0,0.0,0.0,0.34,114.25,0
2025-07-01 23:10:00,73.384,72.623,0,0,0,0.0,0.0,0.616,88.78,0
2025-07-01 23:15:00,73.872,72.654,0,0,0,0.0,0.0,0.128,82.48,0
2025-07-01 23:20:00,73.655,72.555,0,0,0,0.0,0.0,0.345,96.14,0
2025-07-01 23:25:00,73.431,72.343,0,0,0,0.0,0.0,0.569,118.63,0
2025-07-01 23:30:00,73.491,72.068,0,0,0,0.0,0.0,0.509,85.79,0
2025-07-01 23:35:00,73.73,71.798,0,0,0,0.0,0.0,0.27,102.22,0
2025-07-01 23:40:00,73.885,71.597,0,0,0,0.0,0.0,0.115,111.06,0
2025-07-01 23:45:00,73.764,71.517,0,0,0,0.0,0.0,0.236,87.8,0
2025-07-01 23:50:00,73.856,71.575,0,0,0,0.0,0.0,0.144,93.95,0
2025-07-01 23:55:00,73.627,71.752,0,0,0,0.0,0.0,0.373,88.91,0
